EPSPs recorded with voltage sensitive dye JPW1114 from the CA1 field of rat hippocampal slice,,,,,,,,,,,,,,,,,,,,,,
,,LM input,,,,,,,,,,,OR input,,,,,,,,,
,time,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7",,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7"

44,11,-0.00135398,0.006814781,-0.006089639,-0.005812849,-0.00352662,0.002319557,-0.004070298,0.015408423,0.001622539,0.00639053,,0.008411552,0.004577771,-0.009884526,0.008833091,-0.007569722,-0.009375833,0.001228102,0.008047855,-0.005235861,0.002591506
45,11.25,0.003446432,0.000481228,-0.001932992,-0.008215861,0.001104978,0.007823269,-0.005620524,0.00057664,0.007648044,0.005931192,,0.001525602,0.009154687,0.002125988,0.007176613,-0.003947708,-0.001656911,-0.005088837,0.004879021,0.008058201,-0.002622954
46,11.5,-0.001430112,-0.00079102,-0.00258947,-0.005144822,-0.00359407,0.00223306,-0.003631086,0.003500132,-0.009579879,-0.002110107,,-0.003705674,3.80685E-05,-0.002114109,0.003790699,-0.008007851,-0.001900077,-0.003482902,0.006961421,-0.007538873,-0.008995333
47,11.75,0.009743305,-0.00646363,0.00087711,0.00658896,0.002637742,0.002268356,-0.001267374,0.004255329,0.002002966,-0.003806919,,0.001194787,0.00813769,0.007573023,0.004780736,-0.003964127,0.000950524,-0.004119138,0.00284271,-0.00519505,0.001640766
48,12,0.007070448,0.001788386,-0.007877174,0.000621477,0.002719531,-0.002676586,0.001374551,0.006277752,0.006303399,0.003686133,,-0.008047111,0.011495246,-0.00163648,0.008024734,-0.006541975,-0.005312769,0.005331928,-0.003805467,0.001315661,0.003783372
49,12.25,0.000697924,-0.005899307,-0.003667103,-0.005186986,0.008993658,0.002631752,-0.007283982,0.00039932,-0.00026569,0.005980155,,0.000370127,0.002574666,-0.001015285,0.001365991,-0.000382149,-0.002734541,-0.006073538,0.000878789,-0.001411746,0.008639574
50,12.5,0.006293946,-0.009380297,0.003501742,0.005855067,0.002326434,0.002548834,-0.002592251,0.006329176,-0.000361983,-0.004830293,,-0.00473987,-0.002906237,-0.003888874,0.004159691,0.003314827,0.005148719,-0.003951967,0.003042106,-0.005914379,0.004056155
51,12.75,0.007195602,0.002518092,0.000287388,0.00261483,0.000159176,-0.001855308,-0.003657189,-0.005842753,-0.002452207,0.003481514,,0.000291192,0.001680916,0.002417179,0.003259327,-9.63418E-06,-0.009653108,0.004630039,0.000990263,-0.004931549,0.002683162
52,13,0.007919506,-0.004494801,-0.001148728,-0.006952056,-0.006392022,0.003920074,0.00828942,-0.003797864,0.000910359,-0.004709252,,-0.003976099,-0.000918067,-0.000597812,-0.010353706,-0.003626134,0.004509552,-0.005966701,-0.000434273,-0.002842961,0.004310717
53,13.25,0.000391469,-0.005602797,0.002915143,-0.006146008,-0.010767693,0.004494314,-0.002655978,-0.002869286,0.001389236,0.002201263,,0.006848917,-0.009227829,-0.003329889,-0.007480453,-0.002156788,0.000406882,0.001028002,0.003668441,-0.000874358,0.006911493
54,13.5,0.000998304,-0.002552878,-0.002050539,0.004359115,6.78557E-05,0.001478764,0.001483649,-0.005671164,-0.000609918,0.00201039,,-0.000432044,-0.001143259,-0.002737523,-0.005386226,-0.003164338,0.006475489,0.00274473,0.004466584,-0.003240743,-0.00290601
