Time (ms),Light,Current (pA)
1336,1,-6.60815
1338,1,-6.8797
1340,1,-7.33999
1342,1,-7.47524
1344,1,-7.77385
1346,1,-7.72925
1348,1,-7.31252
1350,1,-7.13473
1352,1,-7.04041
1354,1,-6.99478
1356,1,-7.06492
1358,1,-7.02213
1360,1,-6.89247
1362,1,-7.48115
1364,1,-7.32421
1366,1,-6.8853
1368,1,-6.85266
1370,1,-6.54856
1372,1,-6.07617
1374,1,-6.44499
1376,1,-6.48268
1378,1,-6.09725
1380,1,-6.28364
1382,1,-6.51341
1384,1,-6.67503
1386,1,-6.18876
1388,1,-6.33098
1390,1,-6.45981
1392,1,-5.82325
1394,1,-5.81522
1396,1,-6.06805
1398,1,-6.16341
1400,1,-6.36051
1402,1,-6.44528
1404,1,-6.31033
1406,1,-6.29938
1408,1,-6.30545
1410,1,-5.71367
1412,1,-5.52424
1414,1,-5.42644
1416,1,-5.23092
1418,1,-5.5491
1420,1,-5.85604
1422,1,-6.21597
1424,1,-6.24383
1426,1,-6.38679
1428,1,-6.52544
1430,1,-6.56579
1432,1,-6.54411
1434,1,-6.03087
1436,1,-5.79676
1438,1,-5.7679
1440,1,-5.82763
1442,1,-5.8751
1444,1,-5.60408
1446,1,-5.89284
1448,1,-5.9072
1450,1,-5.66686
1452,1,-5.6308
1454,1,-5.86573
1456,1,-5.96558
1458,1,-6.00671
1460,1,-6.53794
1462,1,-7.33126
1464,1,-8.95127
1466,1,-8.39808
1468,1,-6.75838
1470,1,-6.22528
1472,1,-6.06755
1474,1,-6.59435
1476,1,-6.4163
1478,1,-6.20242
1480,1,-6.33435
1482,1,-6.88009
1484,1,-7.07022
1486,1,-7.29636
1488,1,-7.47801
1490,1,-7.27812
1492,1,-7.33572
1494,1,-7.48677
1496,1,-7.68978
1498,1,-7.32928
1500,1,-7.22841
1502,1,-6.84848
1504,1,-7.3684
1506,1,-7.63373
1508,1,-7.442
1510,1,-6.86152
1512,1,-6.55335
1514,1,-6.45133
1516,1,-6.20293
1518,1,-6.35005
1520,1,-6.5368
1522,1,-6.54004
1524,1,-6.42833
1526,1,-6.56544
1528,1,-6.25137
1530,1,-5.94778
1532,1,-5.62779
1534,1,-4.81321
1536,1,-5.06844
1538,1,-5.04595
1540,1,-4.90054
1542,1,-5.13761
1544,1,-5.79335
1546,1,-5.81722
1548,1,-6.29682
1550,1,-6.38647
1552,1,-6.36488
1554,1,-6.36863
1556,1,-6.33531
1558,1,-6.0141
1560,1,-6.21558
1562,1,-6.1469
1564,1,-5.57559
1566,1,-5.87262
1568,1,-6.3498
1570,1,-5.73856
1572,1,-5.42426
1574,1,-5.57264
1576,1,-5.41938
1578,1,-5.32392
1580,1,-5.87134
1582,1,-6.14489
1584,1,-5.99115
1586,1,-6.16234
1588,1,-5.94864
1590,1,-6.39498
1592,1,-5.7804
1594,1,-5.93828
1596,1,-5.96441
1598,1,-5.89362
1600,1,-6.4944
1602,1,-6.10546
1604,1,-6.12407
1606,1,-6.10868
1608,1,-6.53938
1610,1,-6.33896
1612,1,-5.97867
1614,1,-6.41099
1616,1,-6.87351
1618,1,-7.00621
1620,1,-7.10458
1622,1,-7.16754
1624,1,-6.68249
1626,1,-6.42569
1628,1,-6.29408
1630,1,-6.03149
1632,1,-5.86389
1634,1,-6.32994
1636,1,-6.30721
1638,1,-6.61482
1640,1,-6.7035
1642,1,-7.29229
1644,1,-7.58456
1646,1,-7.54108
1648,1,-6.99455
1650,1,-6.63439
1652,1,-6.78622
1654,1,-7.25272
1656,1,-6.71861
1658,1,-6.97008
1660,1,-6.99418
1662,1,-7.02368
1664,1,-6.91722
1666,1,-6.98207
1668,1,-6.41476
1670,1,-5.95572
1672,1,-5.34445
1674,1,-5.18136
1676,1,-5.1218
1678,1,-5.0273
1680,1,-5.32919
1682,1,-6.30374
1684,1,-6.48225
1686,1,-7.05427
1688,1,-6.41203
1690,1,-6.48994
1692,1,-5.9386
1694,1,-5.08749
1696,1,-5.2528
1698,1,-5.42491
1700,1,-5.71862
1702,1,-6.02205
1704,1,-6.43783
1706,1,-6.23905
1708,1,-6.43366
1710,1,-5.72685
1712,1,-5.46576
1714,1,-5.36852
1716,1,-5.30554
1718,1,-5.41464
1720,1,-5.77457
1722,1,-5.92406
1724,1,-5.83243
1726,1,-5.55191
1728,1,-5.84655
1730,1,-5.97674
1732,1,-5.7366
1734,1,-5.53006
1736,1,-5.2789
1738,1,-5.36173
1740,1,-5.65374
1742,1,-6.03466
1744,1,-5.95842
1746,1,-6.24831
1748,1,-6.46541
1750,1,-6.58789
1752,1,-6.42689
1754,1,-6.78208
1756,1,-6.90354
1758,1,-6.99452
1760,1,-7.37738
1762,1,-9.40386
1764,1,-7.53936
1766,1,-6.93331
1768,1,-7.17666
1770,1,-7.30839
1772,1,-7.18389
1774,1,-7.05402
1776,1,-7.01865
1778,1,-7.06906
1780,1,-6.69423
1782,1,-6.55922
1784,1,-6.3288
1786,1,-6.48888
1788,1,-6.24106
1790,1,-6.05934
1792,1,-5.93699
1794,1,-6.29064
1796,1,-6.78781
1798,1,-6.57415
1800,1,-7.10725
1802,1,-7.40268
1804,1,-7.00431
1806,1,-6.93435
1808,1,-6.85765
1810,1,-6.49396
1812,1,-6.58104
1814,1,-6.62097
1816,1,-6.89968
1818,1,-7.22794
1820,1,-7.25562
1822,1,-6.99225
1824,1,-7.1202
1826,1,-7.03377
1828,1,-7.02901
1830,1,-7.18696
1832,1,-6.42984
1834,1,-6.43405
1836,1,-6.3489
1838,1,-5.98167
1840,1,-6.15704
1842,1,-6.48565
1844,1,-6.61498
1846,1,-6.6227
1848,1,-6.59708
1850,1,-6.63565
1852,1,-6.41423
1854,1,-6.19851
1856,1,-6.09919
1858,1,-6.32202
1860,1,-6.7062
1862,1,-7.31255
1864,1,-8.16659
1866,1,-7.65336
1868,1,-7.7128
1870,1,-7.56117
1872,1,-7.53732
1874,1,-7.14573
1876,1,-6.77656
1878,1,-6.73292
1880,1,-6.9793
1882,1,-6.89696
1884,1,-6.69104
1886,1,-6.23646
1888,1,-6.4267
1890,1,-6.36416
1892,1,-5.90505
1894,1,-5.6288
1896,1,-5.88514
1898,1,-6.24956
1900,1,-6.3879
1902,1,-6.86391
1904,1,-6.50548
1906,1,-6.4997
1908,1,-6.80808
1910,1,-6.66903
1912,1,-6.67372
1914,1,-6.30024
1916,1,-6.3722
1918,1,-6.31475
1920,1,-6.44393
1922,1,-6.97583
1924,1,-7.04953
1926,1,-6.66336
1928,1,-6.2129
1930,1,-6.21516
1932,1,-5.77693
1934,1,-5.87472
1936,1,-5.8328
1938,1,-5.81503
1940,1,-5.83431
1942,1,-6.23602
1944,1,-6.54936
1946,1,-6.25625
1948,1,-6.58053
1950,1,-6.22391
1952,1,-5.63495
1954,1,-5.47733
1956,1,-5.71171
1958,1,-5.7655
1960,1,-5.84666
1962,1,-5.92041
1964,1,-6.13919
1966,1,-6.0359
1968,1,-5.85667
1970,1,-5.88877
1972,1,-5.72821
1974,1,-5.65
1976,1,-6.47341
1978,1,-6.61404
1980,1,-6.40891
1982,1,-6.3449
1984,1,-6.22778
1986,1,-6.31463
1988,1,-6.74172
1990,1,-6.70036
1992,1,-6.34118
1994,1,-6.4
1996,1,-6.49137
1998,1,-6.232
2000,1,-6.37742
2002,1,-6.55225
2004,1,-6.61948
2006,1,-6.75043
2008,1,-7.11085
2010,1,-6.75409
2012,1,-6.77883
2014,1,-7.00937
2016,1,-7.16414
2018,1,-6.50087
2020,1,-6.44674
2022,1,-6.36183
2024,1,-6.6392
2026,1,-6.60154
2028,1,-6.45415
2030,1,-6.08097
2032,1,-5.70062
2034,1,-6.06866
2036,1,-5.78938
2038,1,-5.94767
2040,1,-5.96067
2042,1,-5.81424
2044,1,-5.954
2046,1,-5.9965
2048,1,-5.96885
2050,1,-6.05556
2052,1,-6.12115
2054,1,-6.2036
2056,1,-6.05114
2058,1,-6.02611
2060,1,-6.80885
2062,1,-7.13577
2064,1,-7.32332
2066,1,-7.29105
2068,1,-7.01581
2070,1,-6.35959
2072,1,-5.69642
2074,1,-5.88388
2076,1,-6.01556
2078,1,-6.40591
2080,1,-6.69872
2082,1,-6.73742
2084,1,-6.85163
2086,1,-6.87574
2088,1,-6.64099
2090,1,-6.415
2092,1,-6.24775
2094,1,-6.07927
2096,1,-6.04748
2098,1,-6.09299
2100,1,-6.20193
2102,1,-6.1402
2104,1,-6.26467
2106,1,-6.46334
2108,1,-6.38746
2110,1,-6.07699
2112,1,-5.83618
2114,1,-6.02375
2116,1,-5.90873
2118,1,-6.03743
2120,1,-6.5198
2122,1,-6.73705
2124,1,-6.8197
2126,1,-6.91391
2128,1,-6.86052
2130,1,-6.3983
2132,1,-6.20916
2134,1,-5.78694
2136,1,-5.79643
2138,1,-5.96203
2140,1,-6.41838
2142,1,-6.24056
2144,1,-6.23138
2146,1,-6.07336
2148,1,-6.3168
2150,1,-6.16188
2152,1,-5.77766
2154,1,-5.62629
2156,1,-5.4577
2158,1,-5.29802
2160,1,-5.47256
2162,1,-5.58835
2164,1,-5.585
2166,1,-5.75527
2168,1,-5.79973
2170,1,-5.93875
2172,1,-5.63863
2174,1,-5.96775
2176,1,-6.08366
2178,1,-6.07759
2180,1,-5.95077
2182,1,-6.19224
2184,1,-6.14166
2186,1,-6.36928
2188,1,-6.37358
2190,1,-6.45642
2192,1,-6.28516
2194,1,-6.4971
2196,1,-6.53091
2198,1,-6.70125
2200,0,-7.06858
2202,0,-6.90704
2204,0,-6.66236
2206,0,-6.65203
2208,0,-6.36927
2210,0,-5.92022
2212,0,-5.81873
2214,0,-5.7501
2216,0,-5.5405
2218,0,-5.80312
2220,0,-6.00464
2222,0,-6.02082
2224,0,-5.80591
2226,0,-6.02218
2228,0,-6.11156
2230,0,-5.94787
2232,0,-5.90435
2234,0,-5.92868
2236,0,-6.22516
2238,0,-6.34107
